Dia Semana,Data,Tem festa?,Concentração,Saída,Cidade,BLOCO / TROÇA,BLOCO/TROÇA - URL,LOCAL,LATITUDE,LONGITUDE,Orquestra
DOMINGO,15/02,FALSE,11:00,14:00,Olinda,Umuarama,https://www.instagram.com/trocaumuarama/,"Rua Epitácio Pessoa Sobrinho, 91",-8.0207865,-34.8551252,Henrique Dias
DOMINGO,15/02,TRUE,10:00,14:00,Olinda,Me Adota,https://www.instagram.com/meadotaolinda,Praça do Carmo,-8.0171526,-34.84886,
DOMINGO,15/02,FALSE,13:00,14:00,Olinda,Marim dos Caetés,https://www.instagram.com/frevomarim,Largo do Guadalupe,-8.010065,-34.8558844,
DOMINGO,15/02,FALSE,12:00,15:00,Olinda,Fogo na Bacurinha,https://www.instagram.com/casabacurau,Mercado da Ribeira,-8.0157372,-34.8527205,Orquestra do Babá
DOMINGO,15/02,FALSE,15:30,15:30,Olinda,Grheia,https://www.instagram.com/grheiape,Alto da Sé,-8.0139781,-34.849701,
DOMINGO,15/02,TRUE,11:00,15:30,Olinda,Bloco do Cimento,https://www.instagram.com/blocodocimento,Vassourinhas de Olinda - Largo do Amparo,-8.0112489,-34.8542192,Maestro Oseas
DOMINGO,15/02,TRUE,15:00,16:00,Olinda,Vassourinhas,https://www.instagram.com/vassourinhasdeolindaoficial,Largo do Guadalupe,-8.010065,-34.8558844,
DOMINGO,15/02,FALSE,10:00,16:00,Olinda,Vem Pra Sombra,https://www.instagram.com/vemprasombra_olinda,"Estrada do Bonsucesso, 510",-8.0083534,-34.8498054,Henrique Dias
DOMINGO,15/02,FALSE,15:00,16:00,Recife,Caranguejo no Caçuá,https://www.instagram.com/caranguejonocacua,Rua da Moeda,-8.0645962,-34.872844,Maestro Lessa/Maestro Sid
DOMINGO,15/02,FALSE,17:00,19:00,Olinda,Elefante de Olinda,https://www.instagram.com/elefantedeolinda,Largo do Bonsucesso - Sede do Homem,-8.0107718,-34.8554117,
SEGUNDA,16/02,FALSE,8:00,9:00,Olinda,Apoteose dos Bonecos Gigantes,https://www.instagram.com/bonecosgigantesdeolinda,Alto da Sé,-8.0139781,-34.849701,
SEGUNDA,16/02,FALSE,8:00,9:00,Olinda,Minha Cobra,https://www.instagram.com/minhacobra,Largo do Bonsucesso,-7.9953983,-34.8977903,Henrique Dias
SEGUNDA,16/02,FALSE,8:00,9:00,Olinda,Soul Delas,https://www.instagram.com/sambasouldelas/,Mosteiro São Bento,-8.0198269,-34.8521035,
SEGUNDA,16/02,FALSE,8:00,9:00,Olinda,Tambores D'Saia,https://www.instagram.com/tamboresdsaia/,Praça de São Pedro,-8.0165433,-34.85097,
SEGUNDA,16/02,FALSE,8:00,9:00,Olinda,Eu Acho é Pouquinho,,Praça Laura Nigro,-8.0163046,-34.852692,
SEGUNDA,16/02,FALSE,8:30,9:30,Olinda,Birita de Olinda,https://www.instagram.com/tcmbiritadeolinda,"Rua do Amparo, 110",-8.0135758,-34.8528126,Maestro Célio
SEGUNDA,16/02,FALSE,10:00,10:00,Olinda,Pitombeira dos Quatro Cantos,https://www.instagram.com/turmadapitombeira/,Sede da Pitombeira,-8.0172269,-34.8516907,Maestro Carlos e Paranampuká
SEGUNDA,16/02,FALSE,9:00,10:00,Olinda,Fábrica de Samba,https://www.instagram.com/fabricadesamba,Igreja de São Pedro,-8.0165433,-34.85097,
SEGUNDA,16/02,FALSE,9:00,10:30,Olinda,México Peru,https://www.instagram.com/mexicoperuoficial,Ladeira da Misericórdia,-8.0138361,-34.8524354,
